Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
ACCP.PA,2024-01-31,2024-01-31,0,16.2629727118839,26.40287769784173,16.243893365614,18.08402191093748,,16.565809591074803
ACCP.PA,2024-02-29,2024-02-29,0,17.7651928070689,18.05855855855856,17.7443510906666,15.754330407601246,,16.66912506548373
ACCP.PA,2024-03-31,2024-03-28,3,19.1876490033944,19.504504504504503,19.1651384940351,17.015777167601247,,18.00381928998367
ACCP.PA,2024-04-30,2024-04-30,0,18.9982569984502,18.60810810810811,14.3440466797135,15.595240782616665,,17.176392029312368
ACCP.PA,2024-05-31,2024-05-31,0,18.3452062858431,17.968468468468465,13.8509809260172,15.059166178130733,,16.585966546823293
ACCP.PA,2024-06-30,2024-06-28,2,17.6139734456703,17.252252252252248,13.3678446103152,14.533887130841107,,15.924856323472854
ACCP.PA,2024-07-31,2024-07-31,0,15.7779640792935,16.02252252252252,11.8870577917696,12.170877991853917,,13.16348845370504
ACCP.PA,2024-08-31,2024-08-30,1,16.8869016727215,17.148648648648646,12.7225271333333,13.026295337359466,,14.088670380448438
ACCP.PA,2024-09-30,2024-09-30,0,17.2994264574767,17.567567567567565,13.0333217283951,13.344510589887529,,14.432838057196982
ACCP.PA,2024-10-31,2024-10-31,0,18.4793360568841,18.765765765765764,13.9222611078189,14.254674645505618,,15.417231627251953
ACCP.PA,2024-11-30,2024-11-29,1,19.3753576323739,19.675675675675674,14.6000082436214,14.948603946067275,,16.16477862406062
ACCP.PA,2024-12-31,2024-12-31,0,20.8657697579411,21.189189189189186,15.7230858008231,16.09849655730337,,17.40822313360374
ACCP.PA,2025-01-31,2025-01-31,0,22.0722938595908,22.414414414414413,16.6322438233196,17.029362004494242,,18.414821069900558
ACCP.PA,2025-02-28,2025-02-28,0,21.3182162960597,20.626609442060087,16.0640200592593,16.378560312167693,,16.51591331721613
ACCP.PA,2025-03-31,2025-03-31,0,17.9604261796043,17.978540772532188,13.9633936946648,14.275861245874125,,14.395580708659669
ACCP.PA,2025-04-30,2025-04-30,0,18.5006538469784,18.519313304721027,14.4600840396033,14.78366633979021,,14.82858218139567
ACCP.PA,2025-05-31,2025-05-30,1,20.0441614680473,20.064377682403432,15.6664873430233,16.01706608076923,,16.06572924635568
ACCP.PA,2025-06-30,2025-06-30,0,19.0065813449954,19.025751072961373,14.8555162335021,15.187947366000001,,15.234091497132562
ACCP.PA,2025-07-31,2025-07-31,0,19.1480695435934,19.167381974248926,14.9661032029822,14.245080001796874,,14.197235342485536
ACCP.PA,2025-08-31,2025-08-29,2,18.8507592481102,18.141630901287556,13.0576930228373,13.482748134257681,,13.437463903422833
ACCP.PA,2025-09-30,2025-09-30,0,17.9722166477133,17.296137339055793,12.4491371852459,12.854382536328073,,12.811208784195411
ACCP.PA,2025-10-31,2025-10-31,0,19.6891653845296,18.948497854077253,13.6402979993065,14.084318116471355,,14.035108382685545
ACCP.PA,2025-11-30,2025-11-28,2,20.7906883403572,20.008583690987123,14.4034131988147,14.872274305546874,,14.820311501716876
ACCP.PA,2025-12-31,2025-12-31,0,21.5042254777354,20.69527896995708,14.8977388341236,15.382691270130207,,15.3289451010894
ASMI.AS,2024-01-31,2024-01-31,0,28.5284629724094,28.519337016574585,37.8472914730545,37.8472914730545,45.572525823254175,37.98557664997532
ASMI.AS,2024-02-29,2024-02-29,0,31.1536121223308,37.15886618325643,41.3299461514157,37.862976934773954,44.809220985691574,37.97036581481477
ASMI.AS,2024-03-31,2024-03-28,3,37.3165823048578,37.303889255108764,38.0107479996249,38.01074799962481,44.98410174880763,38.11855599539414
ASMI.AS,2024-04-30,2024-04-30,0,54.1288233255941,54.10909090909092,44.0472630833817,44.04726308338174,47.92270531400967,44.14182411291712
ASMI.AS,2024-05-31,2024-05-31,0,58.2212242826703,58.2,47.3774493044035,47.37744930440355,51.54589371980677,47.479159605325165
ASMI.AS,2024-06-30,2024-06-28,2,64.7326889165959,64.7090909090909,52.6761456027404,52.67614560274032,57.31078904991948,52.789231188801075
ASMI.AS,2024-07-31,2024-07-31,0,56.7382491557768,56.72336615935542,44.0767932895257,44.07679328952572,47.67494356659142,44.1286254870857
ASMI.AS,2024-08-31,2024-08-30,1,54.7144416574805,54.70008952551477,42.5046096904991,42.50460969049908,45.974416854778035,42.554593075456694
ASMI.AS,2024-09-30,2024-09-30,0,52.7801831635335,52.76633840644583,41.001991737447,41.001991737447064,44.34913468773514,41.050208115669676
ASMI.AS,2024-10-31,2024-10-31,0,45.9592719376562,45.978456014362656,31.719821344753,31.719940569641583,31.69554455445545,31.707864241190165
ASMI.AS,2024-11-30,2024-11-29,1,45.8874886156138,45.90664272890484,31.6702784765847,31.670397515257015,31.646039603960393,31.658340048700992
ASMI.AS,2024-12-31,2024-12-31,0,50.1406504466269,50.161579892280066,34.5356818639009,34.5358116727286,34.57920792079208,34.59264845368423
ASMI.AS,2025-01-31,2025-01-31,0,50.8764294975616,50.89766606822262,35.0424688919682,35.04260060564981,35.086633663366335,35.10027142669821
ASMI.AS,2025-02-28,2025-02-28,0,46.0490010902092,36.97406340057637,31.7174515614781,28.2018410647344,28.22882288228823,28.22859071322059
ASMI.AS,2025-03-31,2025-03-31,0,37.273489970524,29.92795389048991,25.6730892023343,22.827445008360712,22.84928492849285,22.849097003647373
ASMI.AS,2025-04-30,2025-04-30,0,43.4147934913538,43.44228804902963,19.0415880864319,19.0416399347955,19.063200358583597,19.02223732791983
ASMI.AS,2025-05-31,2025-05-30,1,48.9577591310916,48.98876404494383,21.4727148983135,21.472773366395316,21.49708650829225,21.450893539784506
