Instrument,Date,SourceDate,LookbackDays,REF_PE,PE_trial,REF_PCF,PCF_MktCap_div_OpCF,PCF_Price_div_CFPS_Act,PCF_Price_div_OpCFPS
A2.MI,2010-01-31,2010-01-29,2,59.627059844,52.88461538461539,14.359149186,,,
A2.MI,2010-02-28,2010-02-26,2,55.030355594,48.80769230769231,13.252189322,,,
A2.MI,2010-03-31,2010-03-31,0,60.234171726,53.42307692307693,14.505351433,,,
A2.MI,2010-04-30,2010-04-30,0,64.951604687,49.03846153846154,16.783421127,,,
A2.MI,2010-05-31,2010-05-31,0,98.854337152,46.46153846153846,11.365013738,,,
A2.MI,2010-06-30,2010-06-30,0,92.062193126,43.269230769230774,10.584139449,,,
A2.MI,2010-07-31,2010-07-30,1,94.1898527,44.269230769230774,10.828750672,,,
A2.MI,2010-08-31,2010-08-31,0,122.580645161,42.38461538461539,8.524596581,,,
A2.MI,2010-09-30,2010-09-30,0,125.139043382,43.269230769230774,8.702514658,,,
A2.MI,2010-10-31,2010-10-29,2,130.255839822,45.03846153846154,9.058350813,,,
A2.MI,2010-11-30,2010-11-30,0,14.463657679,37.96153846153846,9.910825347,,,
A2.MI,2010-12-31,2010-12-30,1,15.079132474,39.57692307692307,10.332562596,,,
A2.MI,2011-01-31,2011-01-31,0,15.899765533,41.73076923076923,10.894878928,,,
A2.MI,2011-02-28,2011-02-28,0,16.998827667,44.61538461538461,11.647981158,,,
A2.MI,2011-03-31,2011-03-31,0,16.749706917,11.545454545454545,11.477277986,,,
A2.MI,2011-04-30,2011-04-29,1,10.912183332,12.313131313131313,4.530262791,,,
A2.MI,2011-05-31,2011-05-31,0,9.793471019,11.878787878787877,5.16007928,,,
A2.MI,2011-06-30,2011-06-30,0,8.944037308,10.84848484848485,4.712521383,,,
A2.MI,2011-07-31,2011-07-29,2,8.323617588,10.095959595959597,4.385628606,,,
A2.MI,2011-08-31,2011-08-31,0,8.181278113,9.737373737373737,3.629952749,,,
A2.MI,2011-09-30,2011-09-30,0,7.947891029,9.459595959595958,3.526401192,,,
A2.MI,2011-10-31,2011-10-31,0,8.401934991,10.0,3.727856039,,,
A2.MI,2011-11-30,2011-11-30,0,7.584489158,7.8434343434343425,3.567010187,,,
A2.MI,2011-12-31,2011-12-30,1,7.096112522,7.338383838383838,3.337325049,,,
A2.MI,2012-01-31,2012-01-31,0,7.105880055,7.348484848484849,3.341918752,,,
A2.MI,2012-02-29,2012-02-29,0,7.379370971,7.631313131313131,3.470542429,,,
A2.MI,2012-03-31,2012-03-30,1,5.875170932,-4.455555555555556,2.763112205,,,
A2.MI,2012-04-30,2012-04-30,0,3.869302138,-3.5525925925925925,4.049976741,,,
A2.MI,2012-05-31,2012-05-31,0,4.3832021,-3.711111111111111,5.163110341,,,
A2.MI,2012-06-30,2012-06-29,1,3.697287839,-3.13037037037037,4.355150559,,,
A2.MI,2012-07-31,2012-07-31,0,2.979877515,-2.522962962962963,3.510090583,,,
A2.MI,2012-08-31,2012-08-31,0,3.379112105,-3.1348148148148147,3.233769544,,,
A2.MI,2012-09-30,2012-09-28,2,3.074896199,-2.8525925925925923,2.942638591,,,
A2.MI,2012-10-31,2012-10-31,0,3.029383584,-2.81037037037037,2.899083566,,,
A2.MI,2012-11-30,2012-11-30,0,3.231599229,-3.1059259259259258,1.75150291,,,
A2.MI,2012-12-31,2012-12-28,3,3.370327553,-3.239259259259259,1.826692637,,,
A2.MI,2013-01-31,2013-01-31,0,3.798843931,-3.6511111111111108,2.058945348,,,
A2.MI,2013-02-28,2013-02-28,0,3.177649326,-3.054074074074074,1.722262461,,,
A2.MI,2013-03-31,2013-03-28,3,3.570712909,5.51547619047619,1.93530002,,,
A2.MI,2013-04-30,2013-04-30,0,8.16801204,7.107142857142857,1.946248127,,,
A2.MI,2013-05-31,2013-05-31,0,8.492527615,7.779761904761904,2.041229909,,,
A2.MI,2013-06-30,2013-06-28,2,7.426900585,6.803571428571428,1.785100066,,,
A2.MI,2013-07-31,2013-07-31,0,8.479532164,7.767857142857142,2.038106374,,,
A2.MI,2013-08-31,2013-08-30,1,8.240450845,7.833333333333333,1.99753069,,,
A2.MI,2013-09-30,2013-09-30,0,9.041953663,8.595238095238095,2.19181939,,,
A2.MI,2013-10-31,2013-10-31,0,10.400751409,9.886904761904761,2.52119945,,,
A2.MI,2013-11-30,2013-11-29,1,10.431877243,10.035714285714285,3.060300288,,,
A2.MI,2013-12-31,2013-12-30,1,10.524687539,10.125,3.087527159,,,
A2.MI,2014-01-31,2014-01-31,0,9.905952234,9.529761904761903,2.906014686,,,
A2.MI,2014-02-28,2014-02-28,0,11.638411088,47.025,3.41424961,,,
A2.MI,2014-03-31,2014-03-31,0,11.644598441,47.05,3.416064734,,,
A2.MI,2014-04-30,2014-04-30,0,10.895928722,44.025,3.196434642,,,
A2.MI,2014-05-31,2014-05-30,1,32.115454878,43.949999999999996,3.535075402,,,
A2.MI,2014-06-30,2014-06-30,0,30.781877969,42.125,3.388283307,,,
A2.MI,2014-07-31,2014-07-31,0,29.797627355,42.699999999999996,3.331881826,,,
A2.MI,2014-08-31,2014-08-29,2,52.820025349,41.675,3.215857818,,,
A2.MI,2014-09-30,2014-09-30,0,49.746514575,39.25,3.028732318,,,
A2.MI,2014-10-31,2014-10-31,0,50.602027883,39.925,3.080818798,,,
A2.MI,2014-11-30,2014-11-28,2,30.617464377,41.9,2.781117184,,,
A2.MI,2014-12-31,2014-12-30,1,30.5991962,41.875,2.779457807,,,
A2.MI,2015-01-31,2015-01-30,1,30.836682499,42.199999999999996,2.801029718,,,
A2.MI,2015-02-28,2015-02-27,1,33.065400073,45.25,3.003473809,,,
A2.MI,2015-03-31,2015-03-31,0,35.348922178,48.375,3.210896033,,,
A2.MI,2015-04-30,2015-04-30,0,37.705516989,-84.59016393442623,3.424955769,,,
A2.MI,2015-05-31,2015-05-29,2,,-92.95081967213113,4.219375991,,,
A2.MI,2015-06-30,2015-06-30,0,,-87.70491803278688,3.981245423,,,
A2.MI,2015-07-31,2015-07-31,0,,-95.24590163934425,4.323558114,,,
A2.MI,2015-08-31,2015-08-31,0,188.620689655,-89.67213114754098,4.44539348,,,
A2.MI,2015-09-30,2015-09-30,0,191.379310345,-90.98360655737706,4.510408375,,,
A2.MI,2015-10-31,2015-10-30,1,215.0,-102.21311475409836,5.067098418,,,
